Speaker Label,Gender,Word,VowelPhoneme,Class,Formant1,Formant2,Formant3,Time Marker
alw001,F,HEAT,IY,1,434.936633,2675.424694,3109.763299,0.990475
alw001,F,HEAD,EH,1,764.29009,2352.944311,3135.745249,2.954339
alw001,F,HOOD,UH,1,669.311088,1480.634263,2795.212672,6.375211
ajh001,M,HEAT,IY,1,334.539276,2399.227201,2953.039129,1.403992
ajh001,M,HEAD,EH,1,534.938773,2091.716984,2662.21415,2.991606
ajh001,M,HOOD,UH,1,438.234324,1052.586213,2749.806044,5.745682
cxb001,F,HEAT,IY,1,422.896905,2697.183672,3259.29792,0.7627634
cxb001,F,HEAD,EH,1,778.870975,2322.493946,3275.983166,2.640162
cxb001,F,HOOD,UH,1,530.672577,1058.07778,2926.186674,4.878104
apd001,M,HEAT,IY,1,333.547189,2085.98593,2871.75641,0.915037
apd001,M,HEAD,EH,1,539.633604,1969.742956,2588.010501,2.280147
apd001,M,HOOD,UH,1,552.328242,841.4802129,2805.746104,4.511027
jah001,F,HEAT,IY,1,472.70942,2734.3709,3382.048887,1.310187
jah001,F,HEAD,EH,1,786.530692,2351.982726,3276.190884,3.122225
jah001,F,HOOD,UH,1,601.091225,1470.244276,2955.530679,6.218156
ars001,M,HEAT,IY,1,2092.147152,2676.374482,4001.840089,2.819622
ars001,M,HEAD,EH,1,585.39609,1758.794598,2519.757855,4.436388
ars001,M,HOOD,UH,1,492.649492,932.503368,2346.889671,7.504246
jep001,F,HEAT,IY,1,572.018439,2653.587164,2791.319083,1.229231
jep001,F,HEAD,EH,1,906.161162,2070.916426,2397.732552,3.107813
jep001,F,HOOD,UH,1,776.933273,1544.069737,2961.75091,6.009816
axm001,M,HEAT,IY,1,257.727196,2229.973499,2956.502586,1.737955
axm001,M,HEAD,EH,1,753.212009,1829.33318,2723.212667,3.329935
axm001,M,HOOD,UH,1,603.123522,1421.953419,2711.823351,7.513194
knb001,F,HEAT,IY,1,482.470798,2706.145541,3338.449061,0.797278
knb001,F,HEAD,EH,1,735.781299,2389.70459,3208.818739,2.572679
